1.00,145195.00
2.00,140091.00
3.00,133535.00
4.00,133019.00
5.00,131241.00
6.00,125561.00
7.00,122265.00
8.00,118376.00
9.00,112387.00
10.00,111658.00
11.00,110075.00
12.00,109852.00
13.00,109122.00
14.00,107648.00
15.00,105429.00
16.00,103560.00
17.00,97485.00
18.00,96402.00
19.00,96047.00
20.00,95366.00
21.00,93291.00
22.00,91763.00
23.00,90612.00
24.00,89047.00
25.00,88573.00
26.00,87472.00
27.00,84405.00
28.00,80013.00
29.00,77754.00
30.00,77547.00
31.00,76938.00
32.00,76025.00
33.00,74907.00
34.00,73095.00
35.00,72271.00
36.00,71561.00
37.00,70923.00
38.00,70495.00
39.00,69536.00
40.00,68389.00
41.00,67793.00
42.00,67256.00
43.00,66499.00
44.00,63145.00
45.00,62992.00
46.00,62534.00
47.00,60061.00
48.00,58763.00
49.00,58012.00
50.00,57724.00
51.00,57156.00
52.00,56901.00
53.00,56763.00
54.00,56327.00
55.00,56310.00
56.00,55780.00
57.00,55746.00
58.00,55469.00
59.00,55165.00
60.00,54258.00
61.00,53916.00
62.00,52852.00
63.00,52836.00
64.00,52404.00
65.00,49875.00
66.00,49323.00
67.00,49321.00
68.00,48095.00
69.00,47270.00
70.00,46635.00
71.00,45803.00
72.00,45442.00
73.00,44334.00
74.00,43561.00
75.00,43114.00
76.00,42981.00
77.00,42454.00
78.00,41676.00
79.00,41204.00
80.00,40158.00
81.00,40114.00
82.00,39989.00
83.00,38954.00
84.00,38931.00
85.00,38319.00
86.00,38124.00
87.00,37498.00
88.00,37035.00
89.00,37024.00
90.00,36374.00
91.00,35258.00
92.00,34455.00
93.00,33275.00
94.00,32967.00
95.00,32777.00
96.00,32736.00
97.00,32449.00
98.00,32251.00
99.00,31817.00
100.00,30657.00
101.00,30322.00
102.00,29902.00
103.00,29850.00
104.00,29772.00
105.00,29613.00
106.00,29531.00
107.00,29310.00
108.00,28563.00
109.00,28447.00
110.00,28189.00
111.00,27640.00
112.00,27552.00
113.00,27472.00
114.00,26846.00
115.00,26840.00
116.00,26693.00
117.00,26542.00
118.00,26535.00
119.00,25914.00
120.00,25704.00
121.00,25544.00
122.00,25443.00
123.00,24902.00
124.00,24804.00
125.00,24640.00
126.00,24265.00
127.00,24170.00
128.00,24048.00
129.00,23817.00
130.00,23704.00
131.00,23670.00
132.00,23605.00
133.00,23265.00
134.00,23163.00
135.00,22779.00
136.00,22575.00
137.00,22557.00
138.00,22540.00
139.00,22531.00
140.00,22481.00
141.00,22443.00
142.00,22263.00
143.00,22235.00
144.00,22065.00
145.00,21825.00
146.00,21800.00
147.00,21751.00
148.00,21647.00
149.00,21527.00
150.00,21418.00
151.00,21252.00
152.00,21234.00
153.00,21130.00
154.00,21119.00
155.00,20989.00
156.00,20930.00
157.00,20926.00
158.00,20846.00
159.00,20651.00
160.00,20420.00
161.00,20331.00
162.00,20317.00
163.00,20223.00
164.00,20026.00
165.00,19782.00
166.00,19754.00
167.00,19588.00
168.00,19548.00
169.00,19466.00
170.00,19258.00
171.00,19227.00
172.00,19125.00
173.00,19029.00
174.00,19008.00
175.00,18937.00
176.00,18846.00
177.00,18813.00
178.00,18699.00
179.00,18631.00
180.00,18384.00
181.00,18320.00
182.00,18043.00
183.00,17741.00
184.00,17714.00
185.00,17627.00
186.00,17486.00
187.00,17169.00
188.00,17030.00
189.00,16931.00
190.00,16886.00
191.00,16859.00
192.00,16853.00
193.00,16327.00
194.00,15818.00
195.00,15424.00
196.00,15271.00
197.00,15268.00
198.00,15209.00
199.00,15169.00
200.00,15100.00
